City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,goderich,70.6194,147.9024,-35.95,98,100,1.83,RU,"Feb 07, 2023, Tue, 23:00"
223,torrelavega,27.8734,-0.2875,6.12,49,0,3.09,DZ,"Feb 07, 2023, Tue, 23:00"
224,saint pete beach,45.229,147.8752,-4.26,58,85,2.37,RU,"Feb 07, 2023, Tue, 23:00"
225,hellvik,-37.61,-73.6559,14.29,92,0,7.09,CL,"Feb 07, 2023, Tue, 23:00"
226,aubenas,38.8953,-98.8598,1.07,75,0,1.54,US,"Feb 07, 2023, Tue, 23:00"
227,port-gentil,35.753,140.8201,12.38,62,100,5.99,JP,"Feb 07, 2023, Tue, 23:00"
228,cortez,2.9205,172.9189,27.35,81,96,9.99,KI,"Feb 07, 2023, Tue, 23:00"
229,chokurdakh,-10.4318,-62.4788,22.38,97,97,0.33,BR,"Feb 07, 2023, Tue, 23:00"
230,adrar,65.0087,53.9083,-1.28,93,100,4.27,RU,"Feb 07, 2023, Tue, 23:00"
231,kurilsk,14.2937,-91.9118,24.92,72,4,1.22,GT,"Feb 07, 2023, Tue, 23:00"
232,lebu,64.5011,-165.4064,-23.83,84,0,1.54,US,"Feb 07, 2023, Tue, 23:00"
233,russell,5.5325,-58.2573,20.92,99,65,1.0,GY,"Feb 07, 2023, Tue, 23:00"
234,asekeyevo,-20.8033,165.1562,25.78,84,97,1.84,NC,"Feb 07, 2023, Tue, 23:00"
235,hasaki,71.965,114.0939,-33.19,99,100,1.23,RU,"Feb 07, 2023, Tue, 23:00"
236,butaritari,61.9849,5.1378,7.22,70,95,15.38,NO,"Feb 07, 2023, Tue, 23:00"
237,jaru,50.211,-66.3791,-4.76,83,100,4.63,CA,"Feb 07, 2023, Tue, 23:00"
238,izhma,11.18,119.3905,27.63,72,96,6.68,PH,"Feb 07, 2023, Tue, 23:00"
239,champerico,15.8693,-97.0726,23.77,66,1,2.14,MX,"Feb 07, 2023, Tue, 23:00"
240,nome,36.5399,61.1564,15.08,41,75,4.12,IR,"Feb 07, 2023, Tue, 23:00"
241,ituni,-14.7341,134.7323,37.03,32,74,2.92,AU,"Feb 07, 2023, Tue, 23:00"
242,touho,38.9365,100.4556,1.41,41,100,1.51,CN,"Feb 07, 2023, Tue, 23:00"
243,saskylakh,11.2135,8.3926,15.69,29,61,3.16,NG,"Feb 07, 2023, Tue, 23:00"
